priority,rank,target_id,source,project,lane,action,duration_s,repetitions,runnable_now,benefit_to_prove,primary_endpoint_metrics,mechanism_evidence_required,blocking_issue,claim_boundary,command,post_unblock_commands,evidence_paths
P0,1,LIBARCHIVE_2936,real_cve,libarchive,real_cve_replacement,extend_matched_longrun,7200,3,true,Confirm that the current first-_T speedup and lower execution cost persist in 3 matched 7200s repetitions.,"[""same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""PRET/TTE under the same seed corpus and oracle""]","[""strict_pretrigger_guidance"", ""binding_spec_mutation_hook"", ""typed_mutation_endpoint_conversion"", ""formtrig_terminal_oracle_success"", ""matched_budget_replicated_tte_speedup""]",[],Report as speedup/attribution unless long-run matched baselines stop triggering while FORMTRIG remains successful.,scripts/run_libarchive_2936_matched_longrun.sh --duration 7200 --reps 3 --jobs 4,[],"[""artifacts/cve_bench_candidate_audit.json"", ""artifacts/formtrig_native_readiness/comparisons/libarchive_2936_b4_path_hierarchy_hook_60s_20260616/comparison.json"", ""artifacts/formtrig_native_readiness/comparisons/libarchive_2936_b4_path_hierarchy_hook_60s_20260616/evidence/repetition_summary.json""]"
P1,2,PDF003,magma,poppler,binding_validation_first,validate_binding_spec_then_short_screen,600,3,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id PDF003 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PDF003.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P1,3,SSL011,magma,openssl,binding_validation_first,validate_binding_spec_then_short_screen,600,3,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id SSL011 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL011.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P1,4,SSL015,magma,openssl,binding_validation_first,validate_binding_spec_then_short_screen,600,3,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id SSL015 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL015.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P0,5,TIF012,magma,libtiff,binding_validation_first,extend_matched_longrun,7200,3,true,Confirm that the current matched-budget endpoint benefit persists in 3 matched 7200s repetitions: FORMTRIG reaches _T while faithful baselines do not.,"[""same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""PRET/TTE under the same seed corpus and oracle""]","[""strict_pretrigger_guidance"", ""formtrig_terminal_oracle_success"", ""matched_budget_endpoint_success""]",[],Report as speedup/attribution unless long-run matched baselines stop triggering while FORMTRIG remains successful.,scripts/run_tif012_b5_matched_longrun.sh --duration 7200 --reps 3 --jobs 4,[],"[""artifacts/formtrig_native_readiness/comparisons/tif012_b5_formtrig_120s_3rep_vs_aflpp_family_120s_3rep_20260616/comparison.json"", ""artifacts/magma_canary_inventory.json""]"
P1,6,PDF016,magma,poppler,binding_validation_first,validate_binding_spec_then_short_screen,600,3,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id PDF016 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PDF016.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P1,7,PHP009,magma,php,binding_validation_first,validate_binding_spec_then_short_screen,600,3,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id PHP009 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP009.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P1,8,GPAC_3403,real_cve,gpac,binding_spec_first,validate_replay_then_draft_binding_spec,600,3,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""validate vulnerable build and PoC replay"", ""write harness admissibility note"", ""draft BindingSpec and run binding-signal sweep""]","[""artifacts/cve_bench_candidate_audit.json""]"
P2,9,SQL013,magma,sqlite3,binding_spec_first,draft_binding_spec_then_short_screen,600,3,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SQL013 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SQL013.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,10,SSL009,magma,openssl,binding_spec_first,draft_binding_spec_then_short_screen,600,3,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL009 --durations 600 --jobs 4 --reps 3"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL009.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
