priority,rank,target_id,source,project,lane,sota_pain_class,sota_pain_evidence,action,duration_s,repetitions,runnable_now,benefit_to_prove,primary_endpoint_metrics,mechanism_evidence_required,blocking_issue,claim_boundary,command,post_unblock_commands,evidence_paths,active_run_status,active_run_root
P0,3,PDF003,magma,poppler,binding_validation_first,visible_hard_speedup_or_reliability,"at least one strong baseline family is unstable or has low success under the matched budget; strength=hard_speedup_or_reliability_candidate; FORMTRIG first_T=0.31s; baseline fastest_T=4530s; baseline family_median_T=4530s; speedup=14612.9x; baseline_visible=aflplusplus_vanilla,redqueen_operand; baseline_guidance_gap.status=measured_pass; pre_T_binary_flat=true; fastest_baseline_T=4530s; baseline evidence supports a hard binary-TC no-guidance candidate",expand_cross_target_hard_evidence,,,false,The matched long-run budget is already complete for this target; spend new budget on cross-target hard evidence instead of rerunning the same campaign.,"[""replicated matched-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""baseline R2T tail and success-rate variance across targets""]","[""formtrig_terminal_oracle_success"", ""baseline_guidance_gap_measured""]",[],Use this target as one hard-speedup data point; broad claims still require additional Magma and real-CVE targets.,,"[""run the next hard Magma/real-CVE target with matched baselines"", ""prioritize targets where strong baselines have low success or long R2T tails"", ""add ablations for any target-specific typed hook before main-claim use""]","[""artifacts/formtrig_native_readiness/comparisons/pdf003_matched_7200s_3rep_20260617T224500Z/comparison.json"", ""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/PDF003/build_plan.json""]",,
P1,4,SSL015,magma,openssl,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id SSL015 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL015.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/SSL015/build_plan.json""]",,
P1,5,PDF016,magma,poppler,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""pre-trigger lift guidance is not ready"", ""terminal signal appeared without non-trigger guidance"", ""semantic BindingSpec roles varied, but no accepted non-trigger frontier progress was observed""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id PDF016 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PDF016.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/formtrig_native_readiness/binding_validation/PDF016.native_b3_parser_ref_candidate.validation.json"", ""artifacts/formtrig_native_readiness/raw/pdf016_b3_binding_validation_600s_t5000/summary.jsonl"", ""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/PDF016/build_plan.json""]",,
P1,7,LIBXML2_1107,real_cve,libxml2,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""no external PoC/input link recorded"", ""no vulnerable/fix commit link recorded"", ""BindingSpec candidate is not native-site-map validated""]","Validation is a gate, not an efficacy result.",,"[""run short FORMTRIG gate and same-budget AFL++ family baselines""]","[""artifacts/cve_bench_candidate_audit.json""]",,
P1,8,GPAC_3403,real_cve,gpac,binding_spec_first,,,validate_replay_then_draft_binding_spec,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""validate vulnerable build and PoC replay"", ""write harness admissibility note"", ""draft BindingSpec and run binding-signal sweep""]","[""artifacts/cve_bench_candidate_audit.json""]",,
P2,9,SQL013,magma,sqlite3,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SQL013 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SQL013.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,10,SSL009,magma,openssl,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL009 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL009.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,11,PHP003,magma,php,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PHP003 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP003.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,12,PHP010,magma,php,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PHP010 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP010.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,13,PHP011,magma,php,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PHP011 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP011.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,14,SQL015,magma,sqlite3,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SQL015 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SQL015.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,15,SSL005,magma,openssl,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL005 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL005.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,16,TIF011,magma,libtiff,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id TIF011 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/TIF011.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
P2,17,TIF014,magma,libtiff,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id TIF014 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/TIF014.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]",,
