comparison_id,target_id,package_status,verdict,matched_baselines,successful_baselines,fastest_baseline_trigger_time_s,fastest_baseline_family_median_trigger_time_s,best_formtrig_trigger_time_s,tte_speedup_over_fastest_baseline,main_claim_strength,max_budget_s,formtrig_terminal,strict_pretrigger_guidance,missing_required_baselines,observed_benefits,blocked_claims,next_steps,source_path
LIBARCHIVE_2936_b4_formtrig_10m_vs_aflpp_10m_20260616,LIBARCHIVE_2936,mechanism_only_needs_terminal_oracle,pretrigger_guidance_improved_no_endpoint_success,2,,,,,,,600.0,false,true,redqueen_operand,"FORMTRIG saved non-trigger progress improves from 0 to 10 events against the old native FORMTRIG run,D_F_spec_lifted changes from constant [2] to variable [1,0],binding-signal diagnosis improves from fail/constant_lift_signal to pass/role_signal_progress_observed","no endpoint/TTE benefit is established,no arm reaches _T in 600 seconds,Redqueen/operand-aware baseline is still missing,single repetition is not final efficacy evidence","do not claim endpoint/TTE performance benefit from this package,keep b4 as the current LIBARCHIVE readiness candidate,add structure-aware typed mutation for RNT entry count and path hierarchy,add or run Redqueen/operand-aware baseline before any final baseline-family claim",artifacts/formtrig_native_readiness/comparisons/libarchive_2936_b4_formtrig_10m_vs_aflpp_10m_20260616/comparison.json
LIBARCHIVE_2936_b4_path_hierarchy_hook_60s_20260616,LIBARCHIVE_2936,promote_or_extend_longruns,positive_speedup_matched_comparison,3,"aflplusplus_vanilla,aflplusplus_cmplog,redqueen_operand",24.45,24.45,1.326,18.43891402714932,,600.0,true,true,,"FORMTRIG has a lower replicated first-`_T` upper bound than all matched successful baseline families,FORMTRIG median first-`_T` is 18.44x faster by wall-clock and 1074.34x fewer executions than the fastest matched successful baseline family,FORMTRIG b4 path-hierarchy hook saves terminal crashes in 3/3 short-run repetitions,D_F_spec_lifted is non-constant {0,1} and the endpoint is attributable to BindingSpec typed mutation,The 10m matched confirmation preserves the endpoint benefit: FORMTRIG reaches first `_T` at 1.220s / exec 32 versus the fastest successful baseline at 20.671s / exec 28677,The 10m matched confirmation gives 16.94x lower wall-clock time and 896.16x fewer executions than the fastest successful baseline in that run","AFL++ vanilla, CmpLog, and Redqueen/operand are all baseline-visible in this replicated 60s package, so LIBARCHIVE_2936 is a speedup/attribution case rather than a baseline-impossibility case,60s repetitions plus one 10m confirmation are still not a substitute for 2h matched repetitions, Magma long-run evidence, and broader real-CVE evidence,the Redqueen/operand row is the local AFL++ CmpLog/Redqueen implementation path, not the original Redqueen artifact unless separately mapped,10m confirmation is still one additional matched point, not broad generality across Magma and real-CVE targets,All baseline families trigger in the 10m confirmation, so LIBARCHIVE_2936 remains a speedup/attribution case rather than a baseline-impossibility case","prioritize harder Magma and real-CVE targets where baseline-visible crashes are less immediate, using the 10m confirmation as a control speedup case,extend LIBARCHIVE_2936 from the confirmed 10m matched speedup point to 2h repeated matched runs if it remains a paper target,repeat the same replicated protocol on harder Magma and real-CVE targets where baseline-visible crashes are less immediate,report LIBARCHIVE_2936 as short-run speedup/attribution evidence, not as a baseline-impossibility case",artifacts/formtrig_native_readiness/comparisons/libarchive_2936_b4_path_hierarchy_hook_60s_20260616/comparison.json
LIBARCHIVE_2936_binding_signal_repair_60s_20260616,LIBARCHIVE_2936,mechanism_only_needs_terminal_oracle,mechanism_benefit_no_endpoint_success,0,,,,,,,60.0,false,true,"aflplusplus_vanilla,aflplusplus_cmplog,redqueen_operand","same-budget FORMTRIG signal repair improves saved non-trigger progress from 0 to 3 events,binding-signal diagnosis improves from fail/constant_lift_signal to pass/role_signal_progress_observed,pretrigger_lift_guidance_ready improves from false to true","no endpoint/TTE benefit is established,scalar D_F_spec_lifted is still constant at 2, so the next repair should expose a lower-is-better scalar or root-proximal value,single 60s repetition is not final efficacy evidence,no faithful AFL++/CmpLog/Redqueen performance comparison is made in this mechanism package","promote only to 10-30m FORMTRIG screen after root-proximal or lower-is-better scalar guidance is added,keep faithful AFL++/CmpLog/Redqueen comparisons separate from this mechanism package,preserve this package as evidence that saturated hit-role bindings can be repaired into saved non-trigger progress",artifacts/formtrig_native_readiness/comparisons/libarchive_2936_binding_signal_repair_60s_20260616/comparison.json
LIBARCHIVE_2936_formtrig_10m_vs_aflpp_10m_20260616,LIBARCHIVE_2936,needs_signal_refinement,short_gate_no_terminal_constant_lift_signal,2,,,,,,,600.0,false,false,redqueen_operand,"diagnostic triage benefit: exact native binding and typed mutation executed without endpoint success,diagnostic triage benefit: constant lifted D_F/D_F_spec_lifted identified as the current R2T blocker","no FORMTRIG terminal success is established,no time-to-_T or crash improvement is established,no accepted non-trigger frontier progress is established,D_F and D_F_spec_lifted are constant, so the present guidance is not an effective R2T gradient,replication is one run per arm and Redqueen/operand baseline is still missing","refine LIBARCHIVE_2936 BindingSpec/root-state observability before long-run promotion,add a producer/root signal that varies before _T, such as path-table cardinality, parent-link creation, or hierarchy ordering,extend typed mutation toward RNT entry count and path hierarchy instead of only byte-local slash insertion,rerun a 10-30m FORMTRIG/baseline screen only after non-trigger D_F variability appears,add Redqueen/operand-aware baseline before any final performance claim",artifacts/formtrig_native_readiness/comparisons/libarchive_2936_formtrig_10m_vs_aflpp_10m_20260616/comparison.json
libarchive_2936_matched_7200s_3rep_20260617T070307Z,LIBARCHIVE_2936,needs_harder_experiment_design,positive_speedup_matched_comparison,9,"aflplusplus_cmplog,aflplusplus_vanilla,redqueen_operand",9.456,32.517,1.358,6.963181148748158,not_hard_pain_baseline_fast_enough,7207.0,true,true,,"FORMTRIG has a lower observed first-`_T` upper bound than every matched successful baseline run,FORMTRIG observed first-`_T` is 6.96x faster than the fastest matched successful baseline run,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 1.358s,fastest matched successful baseline-run first `_T` upper bound is 9.456s,fastest matched successful baseline-family median first `_T` upper bound is 32.517s,binary or sparse trigger feedback was lifted into accepted non-trigger search progress","a matched faithful baseline reaches the trigger within the acceptable-time threshold, so this is not hard SOTA-pain evidence","treat as speedup/control evidence, not hard SOTA-pain evidence,move main budget to targets where no faithful baseline triggers within the acceptable-time threshold,if retained, report only FORMTRIG TTE speedup and mechanism attribution",artifacts/formtrig_native_readiness/comparisons/libarchive_2936_matched_7200s_3rep_20260617/comparison.json
LIBARCHIVE_2936_root_distance_repair_60s_20260616,LIBARCHIVE_2936,mechanism_only_needs_terminal_oracle,scalar_guidance_repair_no_endpoint_success,0,,,,,,,,false,true,,b4 converts b3's producer/use-only role variation into root-observe scalar/spec lift variation visible to FORMTRIG diagnostics.,"no endpoint/TTE benefit is established,no terminal _T event was observed in either 60s arm,this is a single short readiness screen, not final efficacy evidence","promote b4 to a 10-30m screen as a readiness candidate,compare against faithful AFL++ vanilla/CmpLog using the same terminal oracle before any performance claim,keep endpoint claims blocked until _T/TTE evidence exists",artifacts/formtrig_native_readiness/comparisons/libarchive_2936_root_distance_repair_60s_20260616/comparison.json
LIBCOAP_35862_asan_terminal_30m_vs_asan_baselines_20260616,LIBCOAP_CVE_2023_35862,control_or_negative,baseline_also_triggers_not_sota_advantage,3,"aflplusplus_cmplog,aflplusplus_vanilla,redqueen_operand",,1060.0,,,,1800.0,true,false,,FORMTRIG terminal oracle success is observed,"no strict pre-trigger guidance benefit is established,FORMTRIG first `_T`/TTE is not recorded for this run,matched baselines also trigger, so terminal success alone is not a FORMTRIG advantage,replication is too low for a final performance claim","collect at least 3 repetitions per matched baseline/budget,do not claim SOTA advantage on this target without harder targets or stronger statistics",artifacts/formtrig_native_readiness/comparisons/libcoap_35862_asan_terminal_30m_vs_asan_baselines_20260616/comparison.json
LIBCOAP_35862_pretrigger_30m_vs_non_asan_baselines_20260616,LIBCOAP_CVE_2023_35862,mechanism_only_needs_terminal_oracle,pretrigger_guidance_only,3,,,,,,,1800.0,false,true,,binary or sparse trigger feedback was lifted into accepted non-trigger search progress,"no FORMTRIG terminal success is established,FORMTRIG first `_T`/TTE is not recorded for this run,replication is too low for a final performance claim","collect at least 3 repetitions per matched baseline/budget,pair pre-trigger guidance with a same-oracle terminal run before terminal TTE claims",artifacts/formtrig_native_readiness/comparisons/libcoap_35862_pretrigger_30m_vs_non_asan_baselines_20260616/comparison.json
pdf003_matched_7200s_3rep_20260618T040544Z,PDF003,promote_or_extend_longruns,positive_speedup_matched_comparison,9,"aflplusplus_vanilla,redqueen_operand",4530.0,4530.0,0.31,14612.903225806453,hard_speedup_or_reliability_candidate,7201.0,true,false,,"FORMTRIG has a lower observed first-`_T` upper bound than every matched successful baseline run,FORMTRIG observed first-`_T` is 14612.90x faster than the fastest matched successful baseline run,FORMTRIG terminal oracle success is observed,FORMTRIG first `_T` upper bound is recorded at 0.31s,fastest matched successful baseline-run first `_T` upper bound is 4530s,fastest matched successful baseline-family median first `_T` upper bound is 4530s",no strict pre-trigger guidance benefit is established,"quantify success-rate and TTE-tail improvement with additional repetitions,treat this as a speedup claim and complete repetitions/longer runs before final performance claims",artifacts/formtrig_native_readiness/comparisons/pdf003_matched_7200s_3rep_20260617T224500Z/comparison.json
,PDF003,insufficient_evidence,positive_format_typed_r2t_smoke_with_sota_pain_not_longrun,3,,,,0.287,,format_aware_typed_r2t_smoke_not_matched_longrun,600.0,false,false,,,"the 30s typed-hook smoke is not a matched long-run endpoint comparison,the current PDF003 evidence does not prove strict pre-trigger frontier guidance because saved_non_trigger_progress remains zero,generality over Magma and real CVEs still requires replicated targets and faithful baselines under the same budgets","run matched repetitions with the PDF image typed hook enabled before making endpoint speedup claims,separate format-aware typed mutation benefit from strict pre-trigger frontier guidance in the paper tables,keep improving non-trigger save/frontier handoff because this smoke reaches _T directly and still saves no non-trigger progress,audit whether comparable grammar/format-aware baselines should be included for a fair PDF-specific comparison",artifacts/formtrig_native_readiness/comparisons/pdf003_validated_short_600s_1rep_20260617/comparison.json
